Timestamp,Date,Employee ID,Location,Department,Reservations - No of Booking Requests Processed ,Reservations - No of Confirmations Updated,Reservations - No of Cancellations ,Reservations - No. of Amendments Made ,Reservations - No of Reconfirmations Made ,Reservations - Remarks ,Taj/Bhutan - No. of Bhutan Air Booking Processed ,Taj/Bhutan - No of Confirmed Bhutan Air Tickets ,Taj/Bhutan - No of Taj Hotels Booking Processed ,Taj/Bhutan - No of Confirmed bookings ,Taj/Bhutan - No of Cancellations ,Taj/Bhutan - No of Amendments made,Taj/Bhutan - No of Reconfirmations made,Taj/Bhutan - Remarks ,Sales Online - No of Enquiries Received ,Sales Online - No of Conversions ,Sales Online - No of Follow‑Ups Taken ,Sales Online - No of Cancellations ,Sales Online - Remarks ,Sales Group - No of Enquiries Received ,Sales Group - No of Conversions Made ,Sales Group - No of Follow‑Ups Taken ,Sales Group - No of Cancellations ,Sales Group - No of Amendments Made ,Sales Group - Remarks ,IT - No of Entries Made ,IT - No. of Amendments Made ,IT - No of Calls/Emails Made ,IT - No of Creatives Made ,IT - Remarks ,HR - Number of Interviews Taken ,HR - Number of Job Offers Extended ,HR - How many Leave Requests Received Today ,HR - Number of Employee Grievances Addressed ,HR - Number of Salary Processing ,HR - Payroll Processing ,HR - Were any Exit Interviews Conducted Today ,HR - Were any Retention Efforts Made (at risk of leaving) ,HR - Remarks ,Accounts - Number of Customer Payments Processed ,Accounts - Number of Tax Filings Prepared/Reviewed ,Accounts - Number of transactions recorded in the accounting system,Accounts - Number of vendor invoices processed,Accounts - Remarks ,Graphic Designer - Give a summary for the day,Others - Give a summary for the day
14/04/2025 19:28:48,14/04/2025,NHL/229,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, SINGLE HOTEL PAYMENT PREPARED - 14 TRIP IF,NA,NA ,NA,"MAIL TO HOTEL (1529626,1615454,1261112,1637067,1357451,1534186,1320870).......STATEMENT OF HOTEL - MOUNT GRP MARCH & PEERLESS INN KOLKATA ,,,,,,,,,4.30PM-6.10PM DOING  SIGNATURE OF VIKRAM DA AND PRAKASH SIR FOR PROCESSING OF SINGLE PAYMENT.",,
14/04/2025 19:31:53,14/04/2025,NHL/234,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,35,"35 FOLLOW UP WITH AGENTS FOR PAYMENTS , 25 CALLS ATTEND FOR INVOICING PURPOSE PAYMENTS .350 MAIL READ .LEDGER CLEARING 8-10 LEDGER ",,
14/04/2025 19:35:57,14/04/2025,NHL/212,Kolkata,RESERVATION,0,0,0,0,19,"
Complaint re-solved against File No. SCC 1427816. Room Upgradation to Ginger - Gangtok done.
Given Contact Details of the guests about their arrival timing to Maple Residency - Gangtok.
Siddarth Hotels Query: 2
Neptune Whatsapp Query: 1
Complaint handled against File No. 1622770 regarding ground floor rooms allocation.

Siddarth Hotels Query: 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:37:32,14/04/2025,NHL/029,Kolkata,RESERVATION,17,2,0,2,1,COMPLAIN MAIL SENT TO GRAND LACHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:38:24,14/04/2025,NHL/220,Kolkata,RESERVATION,4,0,1,3,0,"11 AVAILABILITIES CHECKED BY PHONE (CALLS) AGAINST TRIP IDS, 10 SINGLE HOTEL AVAILABILITY CHECKED, 1 BLOCKING ACKNOWLEDGEMENT SENT TO OPERATOR. PROBLEM SOLVED AT SHILLONG HOTEL, AS THE GUEST WERE NOT READY TO CHECK OUT AS PER THE STANDARD TIME & THEY HAVE CHECKED OUT AFTER ALMOST 5 HOURS, SO I HAVE TO HANDLE ALL THE CALLS FROM HOTEL REGARDING THAT & SHARE THE UPDATE FROM THE TEAM (FHE) TO HOTEL ALSO. CALL GUWAHATI HOTEL FOR ROTI. GUEST CONTACT DETAILS SHARED TO HOTELS.  GIVEN RATE FOR HOTELS THROUGH WHATSAPP.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:41:07,14/04/2025,NHL/188,Kolkata,RESERVATION,12,12,0,2,5,Problem Resolved for AMI -1647255(Fruit Basket provided).Spoken to Anish Ron on revise rate for mayfair kalimpong &also spoken to Inder chettry Regarding mayfair guwahati rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 19:41:27,14/04/2025,NHL/233,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,201,NA,"PURCHASE BOOKED, TDS DEDUCTED, CASH ENTERY & PREPAIRED ANNEXURE FOR GSTR3B",,
14/04/2025 19:41:59,14/04/2025,NHL/191,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,NA,NA,77,"Other Works : Mayfair Group , Denzong Regency, Ledger creation, Daily vendor payment check  , Assist in processing the payment.",,
14/04/2025 19:47:46,14/04/2025,NHL/214,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BHUTAN TDS , TCS CHECKING , MAIL SEND TO AGENT , MAINTAIN FILE OF RECEIVED INVOICES FROM HOTELS. ",,
14/04/2025 19:49:18,14/04/2025,NHL/007,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 TRANSPORTERS  PAYMENT DONE,,,7,1) Checked Tds deducted for payment made on 12.04.2025 (2) Preparing Hotel Statement & Other Vendors March'2025 Statement  for payment  ,,
14/04/2025 19:49:33,14/04/2025,NHL/028,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,"1. All bank book and advance sheet update from bank statement. 2. Payment followup of Bhutan booking, 3. Transport incentive finalised. 4. call to agent for PAN and LRS Declaration for upcoming booking. 5. call received for talk to understand about collect TCS will deposit. more than 15 minute talk with about Sanjay Travels about this matter. 6 Payment followup from 21-04-2025, 22-04-2025. 7. Payment process like bulk payment, unregistered payment. 8 talk to operator about various type of matter  ",,
14/04/2025 19:51:28,14/04/2025,T7,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.check all hold to convert files and update in software 
2.Number of call attend=30-40
3.Follow up=45 files 
4.payment updated in software and acknowledge to agent =60 files
5.tds book in tally
6.ledger reconcile ",,
14/04/2025 19:54:34,14/04/2025,NHL/260,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,"Cash and Bank entries, Purchase booking, Suspense traced ledger clear.",,
14/04/2025 19:55:28,14/04/2025,NHL/236,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Paid Mark Logged in Sembark -all single payments and statements. Approx 300 entries
2. Update and checked hotel's rate on software.46 Trips's all hotels
3. Sent emails to hotels. - 16 emails
4. Assist to prepare payment(as required) ",,
14/04/2025 20:04:15,14/04/2025,NHL/218,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,2,,"Additionally, HOTEL RATES RECHECK (ON SEMBARK) & FILING DONE - 11 HOTELS

ARISTOCRAT - DRJ
THE GANGTOK HERITAGE INN - GTK
ROYAL AVALANCHE RETREAT - LACHEN
LAMTEY VALLEY - LACHEN
FORTUNA LACHUNG - LACHUNG
THE SAPPHIRE - LACHUNG
HOTEL ROYAL GANGTOK (VEG) - GTK
HOTEL SAMLHEN (VEG) - GTK
HOTEL HIDDEN PALACE (VEG) - GTK
GRAND LACHUNG - LACHUNG
THE ROYAL BOUTIQUE LACHUNG - LACHUNG",,,,,,,,,,,,,,,,
14/04/2025 20:22:32,14/04/2025,NHL/015,Kolkata,RESERVATION,4,1,2,3,0,"GOOGLE RATE SHEET CHECKED PYRKYNS INN CHERRAPUNJEE & ROYAL VIEW. 3 AVAILABILITY CHECKED, 02 RATE NEGOTIATED, RAJ 1382775 UDAAN HIMALAYAN HOTEL HAVE BOUNCED THE ROOM I HAVE SPOKEN WITH THE RESERVATION TEAM AND REINSTALL THE BOOKING AND THE GUEST CHECKED IN. RIB 1545224 SPOKEN WITH ARYAN REGENCY FOR COMPLAIN, RAJ 1653262 MOUNT LUNGTA CNB RATE NEGOTIATED & MADE 01 CHILD COMPLIMENTARY IN KINGSWAY AS THE OPERATOR HAVE GIVEN 2% DISCOUNT ON THE PACKAGE, ROOM BLOCKING UNUTILIZED ROOM RELEASE STATEMENT IN Q SAINA MAPHAM, LACHUNG HERITAGE AS PER CUT OFF. BOOKING STATEMENT FOR THE MONTH OF MAY HAS BEEN SENT TO Q SAINA MAPHAM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 20:34:09,14/04/2025,NHL/178,Kolkata,RESERVATION,5,30,2,6,0,CHECKED 5 AVAILABILITIES WITH TRIP ID's AND 15 AVAILABILITIES INCLUDING WHATSAPP GROUP & VERBAL/ON PAPER. SENT A MAIL TO VIVANTA SHILLONG REGARDING RATE DISCREPENCY. REDUCED RATE FOR LA NICHOLAS AND CONFIRMED THE BOOKING. CALLED ALMOST 26 HOTELS + CHECKED AVAILABILITY AND GIVEN RATES FROM ONLINE PORTALS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2025 22:47:28,14/04/2025,NHL/201,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gst reco for FY 2021-22/2022-23/2023-24 as per Gst department,,
14/04/2025 22:59:50,14/04/2025,NHL/049,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncounted asists,Uncounted reviews,Uncounted,,Preparation and preservation of Audit data.,,
15/04/2025 17:17:29,15/04/2025,NHL/240,Kolkata,Sales(Online),,,,,,,,,,,,,,,1,0,2,0,"Online lead for all states

Query Received - 2
Agent - 1
Not Usefull - 1

Online lead for bhutan
Query Received - 0
",,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:24:06,15/04/2025,NHL/238,Kolkata,Sales(Online),,,,,,,,,,,,,,,0,0,0,0,Write up Going on the Shopping Part of Gangtok(Content) for Website ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:24:41,15/04/2025,T5,Kolkata,RESERVATION,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:25:53,15/04/2025,T4,Kolkata,Bhutan Air Ticket & Taj Hotels,,,,,,,0,0,0,0,0,0,0,Bhutan Tickets : 06 Quotation Sent & Taj Hotels : 03 Quotations Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:29:07,15/04/2025,NHL/256,Kolkata,Sales(Online),,,,,,,,,,,,,,,0,0,6,1,"15/4/2025
Query Received - 3
Agent - 1
Not useful - 2

04 Changes Done 

BHUTAN LEAD
15/4/2025
Query Received - 0
Agent - 0
Not useful -0",,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:30:05,15/04/2025,NHL/232,Kolkata,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,1,1,1,No,No,"1. Lunch list Making for 73,2. Check Google sheet for 34 employees of Daily report submit,3. Mail to Shrestha about 2 employees submit their Google sheet but not show,4. Payslip sent to 71 employees,5. Send mail to Shrestha for 3 employees' documents (employees existing form),6. Sending TATA AIG Policy to an employee(customized).7.Arranging group photo for Poila Baishakh Purpose.",,,,,,,
15/04/2025 17:30:29,15/04/2025,NHL/128,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,"Chennai / Pondicherry arranged, & This data send to Arpita",,,,,,,,,,,,,,,,
15/04/2025 17:36:41,15/04/2025,NHL/247,Kolkata,Sales(Group),,,,,,,,,,,,,,,,,,,,5,0,5,,3,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:45:48,15/04/2025,T8,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drafted previous three years notice of Board Meeting of Neptune Tours & Travels Pvt. Ltd.,,
15/04/2025 17:47:52,15/04/2025,NHL/212,Kolkata,RESERVATION,0,0,0,1,18,"
What's app Query - 3
2  Contact details of the guests given to Magpie Chestnut Retreat.
File No.  1352931 - Handled complain at Udaan Olive regarding room changing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:48:05,15/04/2025,NHL/029,Kolkata,RESERVATION,12,0,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:48:11,15/04/2025,NHL/123,Kolkata,Bhutan Air Ticket & Taj Hotels,,,,,,,4,2,2,2,0,0,1,BHUTAN TICKETS : QUERY - 14 / TAJ HOTELS : QUERY - 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 17:49:58,15/04/2025,NHL/214,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FOLLOW UP  MAILS , SEND MAIL TO AGENT , BHUTAN TDS , TCS AMOUNT CHECK AND DECLARATION FOLLOW UP , FOLLOW UP AND MAINTAIN FILES OF  HOTEL INVOICE ",,
15/04/2025 17:57:47,15/04/2025,NHL/218,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,"HOTEL RATES RECHECK ON SEMBARK & FILING - 12

PYRKYN'S INN - CHERRAPUNJEE
SUMITEL JB PARK - DRJ
ECOTEL KOLKATA - KOLKATA
YASHSHREE IMPERIAL - SLG
MAGPIE MALL ROAD - GTK
MAGPIE LIBING GRAND - GTK
MAGPIE PACHHU VILLAGE - PELLING
MAGPIE CHESTNUT RETREAT - PELLING
OM LEISURE RESORT - PURI
OM LEISURE LAKE RESORT SAPTAPADI - CHILIKA
ROYAL VIEW - CHERRAPUNJEE
THE ATRIUM - GTK",,,,,,,,,,,,,,,,
15/04/2025 18:02:24,15/04/2025,NHL/260,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,"Bank Entries	107
Cash	10
Purchase 	22
Invoice no searched and recorded in statement	22",,
15/04/2025 18:04:21,15/04/2025,NHL/233,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,158,NA,"PURCHASE BOOKED, PREPARING ANNEXURE FOR GSTR3B, BILLS CHECKED & SORTED AS PER STATEMENT, CHECKING OF SALES INVOICE DONE OR NOT INFORMED BILLING DEPT. TO RAISED THE PENDING BILLS, FOLLOW MAILS & TDS ENTRY",,
15/04/2025 18:08:02,15/04/2025,NHL/015,Kolkata,RESERVATION,6,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 18:10:41,15/04/2025,NHL/201,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.Reconcile of data for audit procedure
2.Mamta binani required data prepare 
3.payment followup mail sent to agent from 21.04.2025 to 27.04.2025",,
15/04/2025 18:11:20,15/04/2025,NHL/188,Kolkata,RESERVATION,13,9,0,2,0,40 Mayfair queries reverted.spoken with Mayfair gangtok for rooms as it was sold out date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 18:12:08,15/04/2025,NHL/220,Kolkata,RESERVATION,6,9,1,4,0,"14-APRIL GUEST CONTACT DETAILS SENT TO HOTELS AFTER REACHING HOME, MARRIOTT SHILLONG PROBLEM SOLVED.
15-APRIL - 7 NEW AVAILABILITY CHECKED, HOTEL RATE GIVEN THROGH WHATSAPP, 11 WAITING MAIL SENT TO HOTEL FOR CONFIRMATION, 11 CONFIRMATIONS & BLOCKING MAIL SENT TO OPERATORS. GUEST NUMBER SENT TO HOTEL THROUGH WHATSAPP & MAIL ALSO. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2025 18:42:51,15/04/2025,NHL/191,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28, NA,NA,88,"Reconciliation done for Mount Group March 25 , Mayfair Group 24-25 , Ginger Gangtok , Taj Guras Kuthir , Checking all the payments , Putting payment details to vendor. ",,
15/04/2025 18:49:23,15/04/2025,NHL/028,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Bank Book and Advance sheet update from Bank
2. Bhutan April And March Sheet Reconsiled for Advane
3. Payment follow up for 20 April 
5. Payment process 
6. Communication with agent about different issues mainly TCS for Bhutan booking.",,
15/04/2025 18:52:13,15/04/2025,NHL/007,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,12,"Sent Payment e-mails of vendors , Tds entry of 14.04.2025 checked",,
15/04/2025 18:54:38,15/04/2025,T7,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.Payment update and acknowledgement of last night 15 files
2.chech hold to convert files and updated in software 
20 files 
3.ledger reconcile 15 minutes
4.paymeny follow up 45 files
5.payment update in software and acknowledgement 85 files.
",,
15/04/2025 19:32:43,15/04/2025,NHL/229,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single payment process 11no of trip,Na,Na,Na,"Mail to hotel =1615454,1388446,1554467......3.30-5.58pm payment approval signature of tl(vikram da)& nirmal da,,,, also sitting with nirmal da for processing of final payment. ",,
16/04/2025 07:47:30,15/04/2025,NHL/236,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hotel & other vendor's Payment Log in Software- 200 entries 
All Hotels's Rate Update - 50 Trips
Email send to Hotels
Assist to process payment",,
16/04/2025 15:39:53,15/04/2025,NHL/010,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mailer send, Facebook and Instagram photo upload ",,,,,,,,,,,,,,,,
16/04/2025 15:55:27,15/04/2025,NHL/234,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,"Mails read-450
invoice raised-22
payment follow up with agents-32
calls attend-29
tds entry done -4
updated sheet payments which are received -72",,
16/04/2025 17:58:43,16/04/2025,NHL/128,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,"OTM Data Check & Correct to mobile image, & Search some mobile nos.",,,,,,,,,,,,,,,,
16/04/2025 18:33:16,15/04/2025,NHL/209,Kolkata,Sales(Group),,,,,,,,,,,,,,,,,,,,7,0,15,,,I GOT 7 NEW QUERY TODAY & DISTRIBUTE 04 QUERY TO ARIJIT,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:34:05,16/04/2025,NHL/247,Kolkata,Sales(Group),,,,,,,,,,,,,,,,,,,,4,0,10,,4,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:41:03,16/04/2025,T5,Kolkata,RESERVATION,2,1,01,0,20,"01:- Made a cake complimentary at hotel norkhil(1345850- RHA)
02:- shared contact details to 2 property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:43:10,15/04/2025,NHL/178,Kolkata,RESERVATION,16,29,1,5,0,CHECKED 8 AVAILABILITIES WITH TRIP IDS AND CHECKED 7 SINGLE HOTEL AVAILABILITIES (INCLUDING VERBAL AND ON PAPER) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:53:27,16/04/2025,NHL/240,Kolkata,Sales(Online),,,,,,,,,,,,,,,1,0,1,0,"Lead For all state -
Lead received - 4
Agent - 2
Non Agent - 2

Lead for bhutan-
Lead received - 3
Agent - 2
Non Agent - 1

Content Write up -
About general informal of assam ( fully not done)
",,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:57:03,16/04/2025,T4,Kolkata,Bhutan Air Ticket & Taj Hotels,,,,,,,3,13,0,0,0,0,0,Bhutan Tickets : 5 Quotation Sent / Taj Hotels : 2 Quotation Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 18:57:19,16/04/2025,T8,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drafted Notices and Attendance Sheets of General Meetings of Neptune Tours & Travels Private Limited for the last three financial years. Also arranged for the documents required for Due Diligence Report.,,
16/04/2025 19:00:05,16/04/2025,NHL/256,Kolkata,Sales(Online),,,,,,,,,,,,,,,1,1,6,1,"Please find the today's Leads Update below (16-04-25) 
Total Lead Received - 4
Agent - 3
Non Agent - 1

Please find the today's Bhutan Leads Update below (16-04-25) 
Total Lead Received - 4
Agent - 2
Non Agent - 2

Revised done - 3
Bhutan tickets booking done through me ",,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2025 19:11:43,16/04/2025,NHL/218,Kolkata,IT,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,,"HOTEL RATES RECHECK ON SEMBARK AND FILING - 12

SUHIM PORTICO - GTK
ZEN RESORT - SHERGAON
THE WILLOW RESORT - SHERGAON
RITURAJ - GWT
APPLE INN - GTK
REGENTA INN - GTK
NORLING - TAWANG
TAYATHA - TAWANG
TAWANG REGENCY - TAWANG
VERDANT THE LUSH GATEWAY - LACHUNG
MONTANA VISTA - SLG
JANEIRA - SHILLONG
",,,,,,,,,,,,,,,,
16/04/2025 19:21:48,16/04/2025,NHL/232,Kolkata,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,4,1,0,No,No,"1.prepare lunch list for 50 employees ,2.Corrected exit employee sheet ,3.Scan & attached salary related documents, 4.ID card related discussion with Sir,5.CV shortlisted,6.travelling expenses check for 2 marketing employee.6.printing related work,7.pay extra duty amount to transport.",,,,,,,
16/04/2025 19:28:04,16/04/2025,NHL/229,Kolkata,ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 NO OF TRIPS SINGLE PAYMENT PROCESS,NA,NA,NA,"MAIL TO HOTEL (1473900 ,1476791 ,1553801 ,1656654,1596151 ,1549431 ,1568785 ,1645614 )...STATEMENT READY OF HOTEL PEERLESS INN KOL(MARCH,APRL'25).....PARK PRIME MARCH STATEMENT ,,,,, ONE BILL READY FOR BARSANA KOLKATA ........PAYMENT APPROVAL FROM SIR .",,
